ward,new_preds
19100028: Ward 28,14.647463
19100029: Ward 29,15.800446
19100030: Ward 30,12.3051605
19100031: Ward 31,15.086856
19100032: Ward 32,16.59093
19100033: Ward 33,24.773468
19100034: Ward 34,20.45111
19100035: Ward 35,21.114075
19100036: Ward 36,23.93948
19100037: Ward 37,23.495312
19100038: Ward 38,19.981943
19100039: Ward 39,20.544931
19100040: Ward 40,20.156996
19100041: Ward 41,18.21941
19100042: Ward 42,21.407276
19100043: Ward 43,6.160099
19100044: Ward 44,16.064423
19100045: Ward 45,18.130827
19100046: Ward 46,13.087869
19100047: Ward 47,18.183887
19100048: Ward 48,5.9163065
19100049: Ward 49,12.004041
19100050: Ward 50,15.306301
19100051: Ward 51,22.22827
19100052: Ward 52,24.627571
19100053: Ward 53,6.5132246
19100054: Ward 54,5.867262
19100055: Ward 55,9.506121
19100056: Ward 56,9.1544285
19100057: Ward 57,9.585151
19100058: Ward 58,4.985193
19100059: Ward 59,5.454106
19100060: Ward 60,4.9089274
19100061: Ward 61,7.587747
19100062: Ward 62,6.1627803
19100063: Ward 63,4.909554
19100064: Ward 64,5.3051696
19100065: Ward 65,8.8964205
19100066: Ward 66,12.834635
19100067: Ward 67,17.509897
19100068: Ward 68,13.941609
19100069: Ward 69,13.44419
19100070: Ward 70,3.0602226
19100071: Ward 71,5.825451
19100072: Ward 72,6.495996
19100073: Ward 73,4.2149563
19100074: Ward 74,12.149682
19100075: Ward 75,12.6103525
19100076: Ward 76,11.800167
19100077: Ward 77,5.1754327
19100078: Ward 78,8.204619
19100079: Ward 79,14.524032
19100080: Ward 80,21.479397
19100081: Ward 81,8.834494
19100082: Ward 82,14.79993
19100083: Ward 83,12.712685
19100084: Ward 84,5.919635
19100085: Ward 85,16.41072
19100086: Ward 86,16.808313
19100087: Ward 87,25.260244
19100088: Ward 88,18.915792
19100089: Ward 89,22.963402
19100090: Ward 90,24.893095
19100091: Ward 91,25.096699
19100092: Ward 92,16.579823
19100093: Ward 93,24.756142
19100094: Ward 94,16.588451
19100095: Ward 95,23.464426
19100096: Ward 96,20.334005
19100097: Ward 97,21.262108
19100098: Ward 98,23.078915
19100099: Ward 99,19.273552
19100100: Ward 100,8.006388
19100101: Ward 101,21.096327
19100102: Ward 102,2.8235614
19100103: Ward 103,2.8401198
19100104: Ward 104,15.273976
19100105: Ward 105,9.52748
19100106: Ward 106,19.58327
19100107: Ward 107,5.144481
19100108: Ward 108,20.295319
19100109: Ward 109,16.96152
19100110: Ward 110,10.569371
19100111: Ward 111,15.888761
